"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","uslec_c","MNGN","depth","COVMAX","HTMAX","holdup","bd1","fc","WP","OC","dep","app_rate","app_eff","DWRATE","DSRATE","kd","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf","przm_max_h2","pwc_max_peak","pwc_max_h2","pwc_max_benthic","Conv.Factor","max_sed"
"11",0.603,14.371,0.123,3.117,0.725,1.78,2092.174,81.169,0.316,0.195,47.496,0.882,740.056,0.262,0.989,0.377,0.176,1.898,0.703,0.627,0.79,0.066,0.066,732.774,32.205,19.627,20.6,13.46,15.562,17.077,24.719,51.036,0.978,0.46,1.175,0.577,38.505,2.938,23.995,0.318,0.045,8.076,2.404,0,4.2594,6.491,4.7659,0.026131,733,19.154023
"12",0.681,16.013,0.198,4.775,0.449,0.278,255.825,74.416,0.045,0.16,75.213,0.674,523.554,0.185,1.244,0.306,0.203,3.574,1.657,0.337,0.32,0.093,0.093,637.242,18.495,22.621,25.165,21.876,4.634,25.702,35.962,60.56,0.755,0.758,1.399,0.52,33.189,3.372,8.513,0.556,0.693,8.252,3.82,0,2.9212,0.26826,0.20587,0.0010965,638,0.699567
"13",0.604,10.331,0.419,2.869,0.823,4.546,4690.838,63.432,0.959,0.434,2.688,0.258,699.782,0.202,1.076,0.326,0.2,3.162,2.076,2.922,0.918,0.016,0.016,871.887,6.256,16.751,93.767,27.211,19.24,22.903,46.835,88.045,0.483,0.699,0.865,0.697,30.548,0.741,59.94,0.983,0.903,6.631,7.561,0.001,1.6472,49.532,39.393,0.61238,873,534.60774
"14",0.775,32.43,0.389,2.576,0.233,3.204,309.185,87.23,0.338,0.246,74.048,0.285,557.372,0.107,0.951,0.334,0.136,0.812,0.135,2.048,0.225,0.046,0.046,865.55,5.697,17.909,96.058,29.266,18.437,15.135,24.514,48.479,0.657,0.28,0.97,0.642,42.479,4.588,9.282,0.011,0.107,7.123,0.152,0,5.3522,14.841,10.439,0.36315,866,314.4879
"15",0.613,23.502,0.134,2.604,0.737,0.973,2599.039,72.076,0.374,0.145,127.388,0.165,837.174,0.119,0.96,0.339,0.084,1.602,1.966,0.869,0.316,0.035,0.035,668.065,17.743,29.234,13.99,15.521,14.315,8.91,26.876,37.994,0.053,0.334,1.675,0.142,53.737,2.796,49.379,0.151,0.1,8.238,6.991,0,3.4992,2.0117,1.5085,0.097216,668,64.940288
"16",0.765,11.928,0.183,2.077,0.801,2.056,1665.386,70.95,0.754,0.425,98.78,0.87,649.936,0.246,1.432,0.412,0.08,0.113,2.231,2.937,0.748,0.078,0.078,755.844,27.49,20.306,137.833,26.375,12.514,38.477,3.044,37.938,0.321,0.414,0.917,0.711,50.455,4.519,67.794,0.109,0.622,14.094,0.609,0,3.5725,9.3562,6.6665,0.25638,756,193.82328
"17",0.621,26.092,0.543,0.225,0.321,1.172,778.157,86.377,0.177,0.301,44.829,0.843,503.377,0.29,1.708,0.293,0.129,3.313,3.921,1.479,0.217,0.095,0.095,982.563,13.744,27.733,86.506,18.113,7.208,33.25,0.942,39.145,0.011,0.184,0.99,0.541,55.228,0.512,75.669,0.008,0.765,2.201,4.547,0.001,5.0924,0.56347,0.31629,0.070118,983,68.925994
"18",0.634,27.244,0.578,3.849,0.781,2.423,2973.785,74.899,0.281,0.284,115.938,0.697,647.515,0.113,1.404,0.386,0.159,1.94,3.745,2.033,0.155,0.062,0.062,979.175,31.747,31.335,55.246,28.192,7.607,8.665,43.037,23.636,0.378,0.792,0.954,0.404,3.194,3.374,71.343,0.776,0.362,8.208,9.43,0.001,3.4608,1.3074,0.98881,0.035198,980,34.49404
"19",0.667,12.76,0.142,0.134,0.888,3.959,618.159,76.956,0.151,0.183,101.637,0.674,633.574,0.253,1.391,0.339,0.075,2.844,0.19,0.412,0.18,0.056,0.056,661.513,6.246,32.02,122.613,15.74,22.918,37.986,21.705,7.738,0.858,0.577,1.233,0.308,30.657,2.886,49.699,0.86,0.069,13.921,0.526,0,4.1651,0.50493,0.37345,0.0042557,662,2.8172734
"20",0.601,32.945,0.188,0.121,0.337,3.765,851.928,75.914,0.049,0.232,44.028,0.377,528.316,0.206,1.018,0.323,0.187,0.958,2.246,1.604,0.874,0.03,0.03,783.842,10.394,14.95,53.405,27.077,3.815,26.535,22.96,70.476,0.548,0.599,1.09,0.785,51.834,1.729,19.073,0.739,0.146,13.99,6.68,0,3.2774,6.5456,4.9646,0.069198,784,54.251232
"21",0.781,31.743,0.11,2.521,0.862,0.805,3734.016,67.501,0.397,0.456,115.651,0.966,849.412,0.23,1.065,0.378,0.083,1.177,1.051,1.127,0.696,0.054,0.054,908.892,24.256,31.128,63.803,27.568,4.006,5.791,5.15,36.512,0.586,0.537,1.504,0.89,56.892,2.414,28.253,0.951,0.997,3.008,2.626,0,3.138,4.0089,2.6709,0.043441,909,39.487869
"22",0.683,17.643,0.361,1.8,0.53,1.774,1808.779,73.759,0.196,0.142,90.483,0.412,647.89,0.174,1.193,0.404,0.202,0.827,0.91,1.902,0.37,0.014,0.014,940.652,34.137,19.081,5.291,20.695,2.652,29.125,3.277,84.503,0.33,0.395,1.231,0.649,45.635,0.546,11.507,1.131,0.18,4.693,8.934,0.001,3.1744,17.871,12.236,0.077242,941,72.684722
"23",0.778,20.637,0.226,2.705,0.822,0.974,2483.941,65.197,0.186,0.43,105.584,0.955,714.298,0.144,1.054,0.274,0.131,1.43,3.144,2.929,0.394,0.03,0.03,940.165,7.323,23.08,40.397,20.418,23.893,31.781,16.978,60.155,0.339,0.198,1.587,0.975,20.73,1.075,44.314,0.511,0.282,14.95,4.23,0.001,2.0901,3.7598,2.5957,0.023757,940,22.33158
"24",0.724,17.89,0.615,3.947,0.442,1.401,1999.631,75.556,0.71,0.452,61.914,0.444,798.34,0.3,1.657,0.398,0.222,3.365,1.705,0.685,0.646,0.097,0.097,671.96,12.968,18.417,63.076,19.643,19.838,16.333,5.923,56.876,0.763,0.525,1.06,0.582,17.091,4.365,1.248,0.793,0.976,14.674,0.444,0.001,3.3519,3.3126,2.4408,0.032557,673,21.910861
"25",0.716,30.573,0.138,4.4,0.336,4.76,3125.64,74.825,0.575,0.368,73.467,0.717,552.142,0.182,1.039,0.398,0.227,1.797,0.125,2.239,0.236,0.099,0.099,669.792,33.215,13.026,148.691,11.268,23.06,29.971,29.531,85.474,0.123,0.514,1.62,0.171,49.164,3.689,50.566,1.181,0.24,5.464,2.661,0,3.1495,4.7346,3.5559,0.19464,670,130.4088
"26",0.737,13.656,0.48,3.232,0.978,4.513,4785.796,65.076,0.298,0.446,8.064,0.684,804.814,0.173,1.464,0.429,0.117,3.374,2.729,2.727,0.771,0.05,0.05,932.385,25.156,32.574,94.485,25.299,17.233,9.128,44.164,28.122,0.343,0.154,1.247,0.132,44.192,4.202,16.399,0.323,0.097,6.942,8.67,0.001,2.5687,6.9229,5.3674,0.18462,933,172.25046
"27",0.66,20.429,0.19,2.943,0.34,0.202,3763.636,69.492,0.732,0.248,121.133,0.467,797.48,0.267,1.696,0.356,0.205,0.172,4.836,1.553,0.357,0.091,0.091,676.529,12.459,11.012,104.711,15.136,22.237,17.485,13.833,43.267,0.554,0.431,1.025,0.821,14.13,0.614,52.643,1.224,0.196,13.409,1.576,0.001,2.3917,0.39329,0.31275,0.0041665,677,2.8207205
"28",0.666,19.346,0.477,1.241,0.43,2.245,340.248,87.79,0.502,0.234,14.528,0.591,707.986,0.263,1.028,0.404,0.124,0.818,0.146,0.614,0.573,0.018,0.018,839.678,18.993,31.642,130.998,24.683,22.074,5.691,4.806,62.559,0.101,0.557,1.174,0.85,49.522,1.638,32.999,0.85,0.344,9.126,0.671,0.001,5.7029,33.441,22.032,2.7834,840,2338.056
"29",0.685,33.046,0.59,1.153,0.16,1.9,4160.915,79.49,0.316,0.23,68.01,0.2,786.624,0.146,1.076,0.375,0.2,1.023,3.235,1.173,0.175,0.011,0.011,970.923,18.663,11.986,71.134,20.715,7.874,20.008,12.399,69.664,0.452,0.792,1.411,0.897,9.506,4.124,5.454,0.992,0.19,11.799,8.317,0,3.8541,3.2125,2.1589,0.025917,971,25.165407
"30",0.708,25.828,0.577,2.039,0.584,3.755,2087.707,72.695,0.406,0.391,124.712,0.575,527.548,0.22,1.613,0.351,0.205,0.062,2.322,2.444,0.893,0.025,0.025,638.886,13.665,9.332,80.429,16.648,18.213,42.17,21.978,14.265,0.3,0.244,1.066,0.762,27.241,2.828,28.402,1.042,0.684,6.485,7.761,0.001,2.8911,20.158,16.05,0.4884,639,312.0876
"31",0.645,16.794,0.21,0.725,0.994,3.647,339.275,87.86,0.064,0.388,82.91,0.931,537.832,0.256,1.653,0.42,0.14,3.432,4.42,0.151,0.99,0.055,0.055,897.26,25.238,25.49,133.265,23.751,18.461,23.875,38.603,53.671,0.882,0.393,1.399,0.811,17.364,0.793,60.319,0.678,0.691,9.084,1.518,0,5.6402,0.44209,0.29606,0.0047739,898,4.2869622
"32",0.687,19.95,0.233,4.959,0.661,0.5,3746.567,88.583,0.97,0.373,91.567,0.469,813.401,0.188,1.054,0.42,0.169,0.458,3.539,2.134,0.396,0.048,0.048,836.805,5.466,30.65,118.678,34.707,3.47,22.26,16.177,85.834,0.431,0.639,1.316,0.781,11.781,2.772,51.838,0.712,0.658,5.832,3.772,0,5.7491,14.193,9.5739,0.51755,837,433.18935
"33",0.714,22.898,0.117,4.141,0.447,0.349,496.362,90.479,0.33,0.221,122.439,0.888,518.169,0.286,0.997,0.416,0.106,3.236,0.807,1.614,0.568,0.065,0.065,780.197,18.52,18.448,16.047,28.859,21.717,32.288,49.265,48.957,0.459,0.657,1.669,0.174,26.356,2.176,22.952,0.393,0.759,10.217,7.46,0,6.1211,19.706,13.086,0.22632,781,176.75592
"34",0.771,22.036,0.489,0.545,0.492,1.313,2753.798,80.408,0.68,0.074,132.466,0.364,509.02,0.273,1.079,0.416,0.219,0.733,3.403,0.952,0.962,0.074,0.074,959.193,27.185,18.501,97.836,34.016,18.353,34.128,18.863,23.951,0.703,0.79,0.998,0.775,6.387,0.713,57.618,0.121,0.043,8.6,9.228,0,3.9824,3.2779,2.3718,0.049426,960,47.44896
"35",0.638,29.305,0.292,4.717,0.693,4.042,4239.224,87.829,0.107,0.318,110.161,0.988,694.058,0.219,1.545,0.296,0.232,0.644,3.48,1.654,0.637,0.051,0.051,828.775,14.021,7.79,146.607,25.547,23.367,44.356,3.26,48.884,0.058,0.794,1.18,0.048,8.786,3.844,6.4,0.661,0.522,1.673,9.624,0,5.0659,6.2225,4.1315,0.49264,830,408.8912
"36",0.698,22.054,0.116,2.315,0.167,0.138,1075.435,82.549,0.36,0.046,56.147,0.822,522.205,0.192,0.91,0.324,0.167,0.233,3.494,1.453,0.479,0.031,0.031,984.349,32.247,18.597,136.641,34.347,17.539,9.419,35.952,55.888,0.414,0.522,1.684,0.713,16.019,0.288,69.956,0.325,0.761,12.881,4.817,0.001,4.4782,3.8445,2.5166,0.093508,985,92.10538
"37",0.601,13.043,0.063,0.592,0.998,3.059,1078.011,61.213,0.323,0.274,81.599,0.84,609.356,0.3,1.359,0.256,0.183,3.708,0.564,1.771,0.108,0.05,0.05,754.266,28.218,10.734,128.935,6.067,19.616,32.33,42.779,48.175,0.359,0.745,1.682,0.247,31.261,1.592,26.251,1.078,0.044,6.457,3.776,0,1.3257,0.30643,0.22032,0.0018278,755,1.379989
"38",0.64,18.863,0.101,4.902,0.942,1.549,478.14,82.459,0.865,0.356,16.098,0.646,885.899,0.232,1.483,0.262,0.1,2.449,2.438,1.403,0.243,0.023,0.023,631.178,10.728,34.918,48.298,31.665,8.862,34.893,25.862,49.619,0.945,0.261,1.062,0.271,19.524,4.982,31.02,0.038,0.737,4.167,5.649,0.001,4.554,7.3522,5.6658,0.12627,631,79.67637
"39",0.787,10.665,0.121,0.161,0.15,0.407,1868.975,87.299,0.146,0.067,106.746,0.102,863.012,0.164,1.345,0.251,0.119,3.038,4.367,0.486,0.405,0.062,0.062,656.929,8.995,28.544,136.827,32.15,1.039,12.143,37.954,48.505,0.732,0.642,1.416,0.773,36.665,1.186,14.68,1.077,0.497,13.873,1.471,0.001,5.2584,0.55897,0.39563,0.0080267,657,5.2735419
"40",0.696,29.74,0.361,1.942,0.452,4.717,768.568,63.038,0.602,0.208,122.544,0.471,800.232,0.134,1.098,0.391,0.064,3.861,1.578,2.363,0.215,0.078,0.078,662.367,22.028,26.823,29.061,25.814,2.901,16.161,4.704,60.11,0.514,0.394,1.365,0.25,50.72,0.519,7.925,0.563,0.12,4.158,7.854,0,2.6937,1.8616,1.3955,0.017296,663,11.467248
"41",0.73,25.539,0.077,1.296,0.838,1.606,3311.14,87.203,0.091,0.132,40.988,0.089,856.01,0.171,1.283,0.422,0.208,3.708,0.643,2.795,0.856,0.048,0.048,753.738,10.587,19.994,19.072,34.882,16.444,33.5,3.331,58.575,0.152,0.393,1.564,0.425,49.688,0.863,54.828,0.459,0.125,13.047,9.417,0.001,5.2268,23.276,14.621,0.70867,754,534.33718
"42",0.788,22.606,0.207,1.611,0.677,0.459,3243.737,67.949,0.286,0.375,101.109,0.089,837.787,0.221,1.274,0.327,0.159,0.225,2.641,1.773,0.953,0.07,0.07,965.616,8.098,12.911,126.612,9.335,17.663,24.983,4.736,53.479,0.949,0.226,1.18,0.761,58.006,0.536,31.927,1.399,0.393,14.352,2.435,0.001,2.4274,2.2234,1.5414,0.0084583,966,8.1707178
"43",0.603,28.881,0.487,0.151,0.555,3.342,3925.325,64.963,0.297,0.113,133.826,0.894,640.601,0.14,1.678,0.278,0.175,1.924,0.274,2.086,0.265,0.023,0.023,924.174,7.539,7.947,89.132,20.651,4.31,32.783,42.748,37.116,0.964,0.519,1.366,0.582,37.273,3.968,58.016,1.081,0.296,5.412,4.568,0.001,1.8194,2.563,1.7815,0.0078612,925,7.27161
"44",0.702,22.527,0.48,2.983,0.261,4.826,1273.667,86.182,0.432,0.056,93.67,0.602,865.278,0.262,1.066,0.317,0.129,2.874,3.781,2.705,0.714,0.042,0.042,748.233,23.259,11.365,125.961,27.434,11.825,25.033,30.545,83.316,0.165,0.262,1.108,0.045,12.769,3.355,6.633,0.94,0.045,8.543,1.337,0,5.1637,17.304,12.631,1.4528,749,1088.1472
"45",0.797,30.62,0.43,4.603,0.985,2.664,4426.187,76.677,0.13,0.25,41.268,0.702,623.736,0.156,1.649,0.294,0.209,3.113,3.939,1.838,0.837,0.042,0.042,603.178,24.098,28.141,40.888,18.099,16.003,24.62,13.429,11.507,0.248,0.479,1.68,0.543,55.913,3.522,76.766,0.678,0.102,11.144,4.999,0.001,3.2145,5.3967,3.9582,0.107,604,64.628
"46",0.665,30.917,0.645,3.859,0.156,2.364,1045.551,63.201,0.96,0.452,98.102,0.399,620.357,0.27,1.219,0.257,0.094,1.498,1.235,2.978,0.44,0.074,0.074,936.875,28.162,23.532,118.208,9.267,24.34,7.163,49.851,88.18,0.04,0.348,0.999,0.089,23.028,4.795,15.655,0.435,0.649,11.21,6.667,0.001,2.1285,4.2586,3.4359,0.5302,938,497.3276
"47",0.704,20.33,0.075,2.144,0.52,3.058,2327.054,87.431,0.423,0.303,25.273,0.874,750.587,0.116,1.004,0.314,0.12,0.267,5.595,2.032,0.124,0.052,0.052,663.544,28.127,19.09,66.463,24.496,8.532,27.33,47.584,31.3,0.503,0.293,1.718,0.585,20.379,1.494,32.269,1.412,0.658,1.534,8.468,0,5.4197,1.0129,0.69404,0.016094,664,10.686416
"48",0.72,20.914,0.594,0.252,0.583,1.788,3302.336,86.316,0.037,0.159,137.346,0.59,524.28,0.299,1.475,0.299,0.192,0.192,0.719,0.803,0.181,0.086,0.086,638.628,33.259,21.339,127.948,23.552,23.257,39.189,29.931,68.222,0.087,0.2,1.454,0.471,19.874,1.563,64.383,0.873,0.125,0.149,2.573,0.001,4.8282,0.94123,0.68514,0.053155,639,33.966045
"49",0.766,30.869,0.133,0.982,0.143,2.288,1989.262,67.169,0.72,0.069,114.998,0.19,760.174,0.295,1.552,0.418,0.239,1.776,3.817,2.844,0.55,0.034,0.034,905.902,23.128,18.298,138.282,14.892,22.665,37.548,34.443,78.932,0.661,0.707,1.715,0.835,11.835,1.341,9.71,0.019,0.085,10.465,8.632,0,2.1419,2.1096,1.4702,0.010695,906,9.68967
"50",0.631,19.293,0.053,0.905,0.678,1.914,3422.16,87.925,0.9,0.316,125.511,0.459,605.75,0.114,0.889,0.408,0.188,3.118,5.549,2.755,0.248,0.059,0.059,654.659,28.777,7.204,59.863,26.745,6.239,28.924,12.037,72.028,0.931,0.449,0.954,0.18,39.68,4.713,14.864,1.405,0.484,7.583,9.604,0,5.4268,2.9573,2.1808,0.032175,655,21.074625
"51",0.646,19.792,0.546,1.957,0.289,3.894,3036.286,84.381,0.867,0.334,133.959,0.047,807.838,0.191,1,0.252,0.19,2.906,2.527,2.308,0.449,0.095,0.095,772.622,31.19,9.389,41.91,16.666,3.217,35.909,47.083,13.002,0.528,0.609,1.035,0.275,52.63,4.168,54.581,0.742,0.745,11.574,1.704,0.001,4.3164,11.062,8.3736,0.11833,773,91.46909
"52",0.722,32.834,0.465,3.265,0.459,3.046,1757.461,85.065,0.266,0.379,55.708,0.027,666.413,0.12,1.217,0.263,0.216,1.239,0.553,2.305,0.283,0.059,0.059,835.193,20.218,28.219,79.29,5.076,18.562,7.682,44.594,49.941,0.208,0.125,1.626,0.055,7.554,1.115,9.069,0.155,0.228,11.664,5.224,0,4.4173,17.547,12.001,0.3007,835,251.0845
"53",0.759,22.723,0.373,0.861,0.289,2.45,3655.862,87.047,0.487,0.18,78.868,0.544,630.455,0.179,1.599,0.285,0.127,3.166,1.525,0.574,0.373,0.016,0.016,613.882,6.723,13.045,118.576,31.469,0.171,9.567,43.87,68.843,0.437,0.64,1.56,0.417,58.557,2.473,21.969,0.794,0.174,0.33,7.314,0.001,5.284,4.7646,3.1641,0.13894,614,85.30916
"54",0.682,30.341,0.531,0.425,0.802,2.808,1104.725,90.818,0.968,0.257,126.369,0.461,534.114,0.257,1.03,0.267,0.066,2.578,2.354,1.339,0.907,0.064,0.064,750.423,20.711,32.83,112.633,28.378,21.693,37.791,29.98,89.151,0.843,0.129,1.42,0.332,35.056,1.711,21.044,0.105,0.84,8.265,6.136,0.001,6.3771,21.726,14.743,0.37209,751,279.43959
"55",0.767,28.393,0.237,3.798,0.966,4.6,3800.81,78.89,0.774,0.156,100.604,0.717,705.824,0.295,1.719,0.28,0.193,0.189,2.78,2.748,0.887,0.025,0.025,768.693,11.607,18.437,81.46,14.368,6.862,8.809,42.858,76.086,0.457,0.375,1.483,0.323,55.875,0.9,5.734,1.045,0.888,11.239,8.112,0.001,3.6058,39.129,28.234,0.51779,769,398.18051
"56",0.787,30.416,0.355,3.072,0.653,3.707,4577.268,76.371,0.709,0.04,30.622,0.557,675.917,0.151,1.149,0.292,0.099,3.975,2.324,2.128,0.654,0.014,0.014,705.374,10.323,31.602,122.826,7.562,2.285,36.529,6.92,73.77,0.498,0.64,1.004,0.314,50.823,1.097,68.068,1.24,0.61,3.257,0.961,0,3.785,50.202,38.859,0.64479,706,455.22174
"57",0.744,12.769,0.516,1.705,0.187,3.936,1376.667,83.626,0.05,0.192,42.075,0.031,619.76,0.12,0.933,0.319,0.236,1.525,1.385,2.505,0.138,0.083,0.083,723.635,17.765,25.028,12.363,8.605,11.26,44.337,10.022,65.646,0.69,0.686,1.567,0.966,25.585,1.674,16.594,0.777,0.969,14.063,2.761,0.001,4.3276,2.6242,1.7989,0.005253,724,3.803172
"58",0.664,33.441,0.349,1.199,0.214,1.217,977.871,67.457,0.625,0.365,46.406,0.334,725.813,0.294,1.115,0.298,0.081,1.621,4.624,2.524,0.699,0.057,0.057,769.831,19.138,26.95,132.101,24.846,16.477,32.435,28.227,56.07,0.486,0.182,0.994,0.727,7.539,3.992,8.405,0.629,0.118,3.379,3.643,0,2.809,2.2616,1.8161,0.050846,770,39.15142
"59",0.719,22.959,0.522,0.228,0.875,2.466,4100.181,90.019,0.899,0.038,35.529,0.185,638.703,0.292,1.608,0.374,0.16,3.22,1.879,0.991,0.584,0.06,0.06,703.618,20.285,7.673,31.751,18.161,8.348,37.95,1.683,50.158,0.949,0.126,1.609,0.298,10.452,1.153,71.504,0.437,0.814,1.826,3.829,0.001,5.8465,4.7729,2.8413,0.025321,704,17.825984
"60",0.631,11.006,0.127,1.752,0.918,3.117,462.294,81.91,0.334,0.417,8.646,0.046,734.865,0.27,1.742,0.419,0.161,0.068,2.754,1.025,0.313,0.055,0.055,888.304,26.28,27.092,44.371,31.2,5.879,23.187,30.203,72.013,0.728,0.623,1.359,0.699,22.769,0.089,52.525,0.361,0.733,8.205,8.61,0,4.5616,1.2412,0.86214,0.014286,889,12.700254
"61",0.723,17.44,0.271,1.337,0.711,4.481,2809.339,68.621,0.098,0.092,81.027,0.483,708.334,0.116,1.474,0.311,0.226,3.743,5.259,2.078,0.13,0.099,0.099,694.966,16.15,7.589,75.077,24.592,9.651,5.202,18.148,4.316,0.369,0.244,1.115,0.287,11.523,2.912,26.651,0.952,0.189,10.154,9.983,0,2.1241,0.17422,0.1382,0.0016364,695,1.137298
"62",0.66,25.625,0.129,4.905,0.266,3.932,4910.907,74.536,0.925,0.225,15.021,0.733,787.135,0.252,1.326,0.3,0.228,1.058,0.565,0.61,0.915,0.041,0.041,613.781,8.821,7.029,76.525,29.976,18.227,21.914,47.954,28.743,0.605,0.46,1.084,0.901,31.587,0.242,6.021,0.964,0.941,11.942,1.371,0,2.876,6.4951,4.9791,0.13089,614,80.36646
"63",0.633,10.304,0.347,3.025,0.412,2.629,3992.113,83.326,0.048,0.275,14.55,0.934,662.935,0.237,1.737,0.333,0.129,3.7,2.525,1.3,0.862,0.05,0.05,615.464,34.201,30.629,81.284,17.629,20.678,34.735,0.653,33.98,0.431,0.576,1.013,0.535,43.268,1.213,22.572,0.687,0.644,11.159,5.565,0,4.736,3.583,1.8531,0.039216,616,24.157056
"64",0.642,19.234,0.565,2.843,0.447,1.986,3312.331,89.673,0.298,0.06,48.996,0.033,696.714,0.192,1.188,0.408,0.116,1.505,1.169,1.546,0.83,0.041,0.041,782.462,31,8.791,28.709,12.892,9.635,36.498,7.694,83.835,0.064,0.526,1.749,0.472,31.996,0.063,48.291,0.713,0.775,4.734,9.081,0.001,6.0654,35.908,23.114,2.4177,783,1893.0591
"65",0.636,11.613,0.466,0.015,0.751,2.24,2863.656,89.256,0.998,0.034,36.634,0.349,657.46,0.164,1.592,0.397,0.187,2.626,3.003,0.742,0.436,0.035,0.035,944.97,10.117,20.387,119.988,17.185,19.379,31.313,28.78,52.547,0.869,0.67,1.18,0.335,9.689,4.495,69.636,0.633,0.283,11.148,1.19,0,5.6382,1.617,1.1016,0.018328,946,17.338288
