"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","CN_f","uslec_c","uslec_f","MNGN","depth","COVMAX","HTMAX","holdup","bd1","bd2","bd3","bd4","fc","WP","OC","dep","app_rate","app_eff","PLDKRT","DWRATE","DSRATE","koc","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf"
"18",0.634,27.242,0.578,3.848,0.781,2.423,2974.326,74.898,83.679,0.601,0.827,0.329,52.254,0.066,741.619,0.252,1.378,1.295,1.416,1.46,0.916,0.353,0.189,3.792,5.359,2.646,0.408,0.533,0.533,0.018,944.217,12.855,16.144,148.408,8.147,10.104,7.127,33.765,80.265,0.522,0.349,1.35,0.934,41.057,2.951,65.91,0.996,0.925,4.858,7.445
"19",0.667,12.76,0.142,0.135,0.888,3.959,618.275,76.958,82.9,0.383,0.724,0.319,47.411,0.767,736.198,0.198,0.977,1.499,0.874,0.957,0.941,0.341,0.135,0.623,0.344,2.712,0.822,0.3,0.3,0.084,773.133,7.548,30.703,103.91,17.432,7.674,25.435,28.897,55.951,0.577,0.142,1.695,0.062,4.587,4.426,21.573,1.065,0.19,9.523,7.266
"20",0.601,32.942,0.188,0.121,0.337,3.764,852.013,75.916,82.286,0.488,0.31,0.181,10.826,0.531,570.315,0.181,1.511,1.074,1.187,1.327,1.642,0.29,0.196,1.844,1.16,1.062,0.397,0.512,0.512,0.058,783.215,28.488,21.299,108.411,12.653,19.799,39.559,17.354,21.52,0.497,0.196,1.699,0.665,13.18,1.98,31.24,0.47,0.575,6.623,7.072
"21",0.781,31.744,0.11,2.521,0.862,0.805,3733.937,67.501,84.38,0.97,0.825,0.454,122.405,0.648,591.11,0.242,1.018,1.123,1.005,1.179,1.463,0.338,0.077,3.091,3.887,2.626,0.461,0.521,0.521,0.012,640.477,17.154,22.439,95.533,26.48,22.473,42.921,24.189,31.845,0.637,0.798,1.036,0.267,20.437,2.073,20.135,0.54,0.498,1.188,8.009
"22",0.683,17.642,0.361,1.8,0.53,1.774,1809.063,73.756,83.173,0.294,0.644,0.197,52.386,0.369,647.776,0.271,1.582,1.044,0.984,1.419,1.133,0.259,0.201,3.409,5.831,1.461,0.102,0.393,0.393,0.064,625.452,33.168,14.686,66.15,17.362,16.334,35.418,5.548,13.022,0.756,0.22,1.137,0.886,45.392,2.369,6.444,0.167,0.599,5.45,3.637
"23",0.778,20.636,0.226,2.705,0.822,0.974,2484.223,65.197,83.113,0.915,0.753,0.449,75.451,0.222,586.072,0.127,1.242,1.18,1.324,1.738,1.157,0.289,0.059,3.403,0.558,1.848,0.317,0.388,0.388,0.07,735.34,25.044,14.955,25.341,29.244,24.603,18.81,10.827,49.893,0.347,0.292,1.757,0.424,40.787,3.84,67.619,1.326,0.21,0.148,7.258
"24",0.724,17.888,0.615,3.947,0.442,1.401,2000.154,75.554,86.259,0.962,0.439,0.212,104.682,0.998,854.278,0.264,1.676,1.617,1.105,1.041,1.412,0.424,0.052,0.728,1.667,1.397,0.457,0.373,0.373,0.035,646.659,23.945,27.828,93.124,11.65,14.622,16.385,43.663,1.496,0.533,0.783,1.74,0.053,48.183,2.69,26.112,0.519,0.221,10.462,5.936
"25",0.716,30.573,0.138,4.401,0.336,4.76,3125.616,74.827,85.447,0.781,0.522,0.339,19.123,0.411,579.583,0.264,1.699,1.263,0.864,1.524,0.998,0.429,0.174,0.707,5.649,0.876,0.982,0.217,0.217,0.066,835.925,33.493,8.438,90.775,30.315,4.195,37.776,36.911,56.928,0.79,0.263,1.184,0.271,19.164,0.181,71.148,0.081,0.147,0.155,5.268
"26",0.737,13.659,0.48,3.232,0.978,4.513,4785.181,65.076,83.784,0.948,0.052,0.323,106.936,0.367,768.437,0.298,1.177,1.619,1.261,1.675,1.539,0.33,0.131,3.326,4.064,2.765,0.649,0.479,0.479,0.019,953.236,14.349,15.098,16.206,17.913,3.202,34.457,42.034,18.522,0.223,0.161,1.273,0.86,38.349,2.487,78.079,0.759,0.966,13.473,2.712
"27",0.66,20.426,0.19,2.943,0.34,0.202,3763.545,69.493,86.393,0.523,0.864,0.223,104.361,0.835,871.468,0.218,1.593,0.896,1.582,1.311,1.12,0.412,0.082,0.773,1.567,0.682,0.712,0.289,0.289,0.038,710.132,19.402,21.49,73.613,10.495,20.702,14.409,6.223,59.261,0.817,0.232,1.664,0.164,48.861,1.852,40.23,1.048,0.526,13.924,7.436
"28",0.666,19.345,0.477,1.241,0.43,2.245,340.474,87.787,85.007,0.493,0.098,0.28,73.253,0.814,574.672,0.271,1.209,1.042,0.867,1.019,1.339,0.266,0.116,2.401,2.853,2.675,0.873,0.467,0.467,0.012,637.698,25.84,7.768,99.646,15.455,21.446,38.012,16.439,37.192,0.571,0.336,1.405,0.076,43.292,4.414,37.13,1.063,0.028,13.581,3.149
"29",0.685,33.05,0.59,1.153,0.16,1.9,4160.24,79.49,83.893,0.483,0.483,0.098,100.586,0.229,595.929,0.239,1.569,1.089,1.338,1.193,0.936,0.251,0.094,3.71,2.788,0.775,0.506,0.393,0.393,0.044,698.635,28.21,18.387,148.388,23.377,22.635,11.329,41.266,6.226,0.664,0.227,1.567,0.825,21.576,2.418,50.169,1.347,0.942,13.811,2.3
"30",0.708,25.828,0.577,2.038,0.584,3.755,2088.385,72.696,84.432,0.829,0.89,0.272,10.59,0.603,834.718,0.212,1.595,0.872,1.199,1.587,1.662,0.281,0.16,0.398,1.804,0.519,0.563,0.317,0.317,0.094,775.39,9.724,13.796,34.862,11.859,19.208,23.153,28.316,32.012,0.698,0.577,1.246,0.77,43.154,2.247,67.25,0.816,0.458,7.041,6.076
"31",0.645,16.793,0.21,0.726,0.994,3.647,339.805,87.86,82.377,0.822,0.59,0.438,14.14,0.779,852.324,0.289,1.288,1.632,1.519,0.876,1.76,0.34,0.105,2.975,4.079,2.081,0.887,0.45,0.45,0.052,908.685,22.876,31.429,65.709,22.975,20.459,16.572,8.011,67.879,0.457,0.582,1.403,0.159,27.083,1.325,30.938,1.262,0.188,4.578,5.045
"32",0.687,19.947,0.233,4.96,0.661,0.5,3747.148,88.585,87.823,0.791,0.652,0.223,109.898,0.443,586.292,0.289,1.423,0.961,1.385,1.491,1.16,0.326,0.205,2.372,0.192,2.579,0.798,0.655,0.655,0.049,728.832,33.612,17.752,116.631,20.198,19.696,12.851,27.755,58.345,0.48,0.558,1.206,0.379,23.919,1.292,24.436,1.021,0.94,6.6,2.707
"33",0.714,22.899,0.117,4.142,0.447,0.348,496.38,90.48,83.976,0.464,0.874,0.418,7.317,0.931,560.857,0.285,1.123,1.588,0.968,1.33,1.333,0.36,0.072,1.807,2.76,1.4,0.168,0.545,0.545,0.071,994.148,21.308,18.595,120.415,31.947,4.265,22.567,21.807,25.891,0.269,0.63,1.471,0.741,13.64,4.362,41.464,0.796,0.403,2.223,7.841
"34",0.771,22.038,0.489,0.545,0.492,1.313,2753.785,80.406,86.077,0.147,0.946,0.175,4.14,0.864,597.069,0.284,1.659,1.023,1.364,1.124,1.732,0.377,0.103,3.593,4.463,1.405,0.67,0.642,0.642,0.076,750.402,12.96,25.992,148.047,9.6,19.54,9.251,7.211,64.863,0.089,0.123,1.374,0.914,20.166,1.098,62.072,1.472,0.928,5.322,9.752
"35",0.638,29.305,0.292,4.717,0.693,4.043,4239.16,87.83,82.636,0.674,0.786,0.465,68.425,0.594,804.383,0.152,1.724,1.003,1.376,1.342,1.403,0.332,0.192,2.292,1.875,0.37,0.969,0.484,0.484,0.099,625.282,21.283,6.464,148.643,15.667,1.066,10.848,38.46,7.28,0.446,0.462,0.955,0.953,11.813,0.973,36.735,0.053,0.37,2.858,7.503
"36",0.698,22.05,0.116,2.315,0.167,0.139,1075.492,82.55,84.153,0.087,0.397,0.387,8.702,0.463,522.108,0.183,1.416,0.91,1.378,1.28,1.243,0.292,0.194,3.844,5.459,1.415,0.908,0.648,0.648,0.02,887.412,23.612,17.257,92.35,32.465,17.95,15.68,2.963,78.72,0.224,0.631,1.632,0.482,31.881,2.654,31.061,0.313,0.678,1.028,9.681
"37",0.601,13.04,0.063,0.592,0.998,3.059,1078.349,61.213,83.931,0.578,0.58,0.396,38.988,0.998,722,0.107,1.491,1.694,0.931,1.378,0.868,0.33,0.066,1.549,4.666,0.654,0.861,0.12,0.12,0.071,942.113,21.042,15.581,138.517,32.391,6.135,25.833,15.987,29.598,0.721,0.124,1.244,0.38,12.969,2.041,31.318,1.288,0.393,10.603,7.352
"38",0.64,18.865,0.101,4.903,0.942,1.549,478.494,82.461,87.192,0.755,0.11,0.306,135.092,0.662,776.888,0.113,1.099,1.41,1.217,1.264,1.005,0.276,0.148,0.32,1.226,2.992,0.366,0.598,0.598,0.077,806.501,21.529,33.34,38.393,11.722,6.722,18.013,49.824,34.947,0.035,0.614,1.106,0.564,44.8,0.758,14.757,0.122,0.1,8.219,4.832
"39",0.787,10.662,0.121,0.161,0.15,0.408,1869.264,87.301,82.87,0.133,0.761,0.053,127.151,0.322,715.637,0.101,1.185,1.543,1.511,0.98,1.168,0.354,0.17,0.578,0.886,2.376,0.909,0.607,0.607,0.026,903.416,21.154,26.877,117.305,23.551,19.494,29.446,11.932,16.589,0.721,0.445,1.692,0.154,47.044,0.965,70.753,0.245,0.898,10.502,2.147
"40",0.696,29.739,0.361,1.943,0.452,4.718,768.689,63.035,85.612,0.437,0.875,0.224,105.309,0.169,605.723,0.257,0.928,1.729,1.085,1.562,0.977,0.385,0.197,0.632,3.449,2.21,0.248,0.489,0.489,0.035,636.947,25.026,20.263,65.929,21.822,6.197,38.809,5.272,9.017,0.381,0.178,1.105,0.78,24.218,1.62,67.017,0.271,0.523,14.287,8.691
"41",0.73,25.538,0.077,1.296,0.838,1.606,3311.076,87.205,82.543,0.273,0.288,0.047,124.716,0.354,687.961,0.291,1.608,1.694,0.943,1.696,1.624,0.325,0.102,1.544,1.199,1.549,0.187,0.658,0.658,0.074,625.851,24.513,9.31,65.643,28.462,10.652,38.122,8.704,61.714,0.312,0.181,1.642,0.933,44.406,2.736,10.485,0.531,0.262,8.201,9.248
"42",0.788,22.608,0.207,1.612,0.677,0.459,3243.868,67.953,83.713,0.795,0.721,0.047,118.39,0.603,683.897,0.185,1.378,0.909,1.248,1.379,1.723,0.371,0.162,3.657,0.71,0.865,0.846,0.181,0.181,0.055,637.15,22.81,33.444,31.077,15.655,19.169,43.671,5.449,35.974,0.933,0.371,1.721,0.248,32.696,2.09,42.162,1.472,0.023,9.842,3.752
"43",0.603,28.88,0.487,0.151,0.555,3.342,3925.814,64.962,83.777,0.23,0.956,0.421,49.87,0.202,863.32,0.131,1.452,1.292,0.887,1.476,1.027,0.276,0.181,3.244,0.6,0.385,0.616,0.392,0.392,0.073,941.869,17.35,33.897,91.82,21.864,14.634,29.846,39.693,65.291,0.723,0.302,1.181,0.458,46.559,1.938,53.37,0.754,0.358,9.74,5.833
"44",0.702,22.528,0.48,2.983,0.261,4.826,1273.445,86.178,84.585,0.109,0.667,0.285,127.924,0.812,591.805,0.175,1.232,1.506,1.421,1.668,1.481,0.313,0.216,1.488,3.692,0.715,0.842,0.519,0.519,0.055,844.031,32.772,9.7,38.498,13.273,1,13.509,33.579,7.553,0.63,0.125,1.37,0.141,17.268,0.691,10.997,1.393,0.938,2.413,0.545
"45",0.797,30.621,0.43,4.602,0.985,2.664,4426.955,76.675,82.776,0.526,0.29,0.331,43.988,0.281,850.7,0.149,1.612,1.56,1.446,1.399,1.605,0.313,0.177,0.041,3.856,2.337,0.32,0.345,0.345,0.054,706.865,8.806,12.198,83.564,32.338,13.649,42.277,35.243,86.366,0.457,0.165,1.527,0.5,45.256,2.64,29.992,0.042,0.943,6.652,8.463
"46",0.665,30.918,0.645,3.859,0.156,2.364,1044.912,63.201,87.762,0.961,0.699,0.191,42.825,0.85,659.388,0.108,1.066,1.196,1.033,1.753,1.204,0.378,0.128,3.37,4.655,1.891,0.795,0.18,0.18,0.015,998.837,34.389,5.923,56.37,9.637,2.111,20.351,47.951,17.698,0.297,0.552,1.531,0.663,35.25,4.335,49.497,0.997,0.341,3.493,4.527
"47",0.704,20.335,0.075,2.144,0.52,3.058,2326.587,87.435,84.536,0.64,0.176,0.412,88.078,0.083,564.152,0.172,1.19,0.918,1.698,1.459,0.884,0.335,0.204,0.644,4.648,1.462,0.477,0.464,0.464,0.06,980.584,15.415,19.95,45.066,33.59,14.705,18.58,15.002,36.352,0.942,0.558,0.947,0.84,27.953,4.71,30.141,0.925,0.197,5.381,6.003
"48",0.72,20.911,0.594,0.252,0.583,1.788,3301.72,86.32,82.214,0.331,0.981,0.28,9.425,0.996,773.308,0.155,1.532,0.901,0.954,1.078,0.942,0.402,0.193,0.395,5.657,1.679,0.855,0.446,0.446,0.087,839.188,27.732,7.327,25.794,24.789,11.804,18.241,15.696,72.437,0.586,0.182,0.863,0.262,40.816,3.766,31.541,0.019,0.718,8.868,6.524
"49",0.766,30.867,0.133,0.982,0.143,2.288,1989.307,67.172,86.318,0.136,0.82,0.094,91.426,0.974,807.518,0.286,1.756,1.258,1.427,1.712,1.315,0.297,0.075,3.061,3.665,1.386,0.918,0.285,0.285,0.083,875.314,31.308,24.722,130.792,33.501,21.046,12.884,13.479,11.004,0.022,0.153,1.486,0.856,23.753,1.523,52.453,0.598,0.273,12.25,3.351
"50",0.631,19.293,0.052,0.905,0.678,1.914,3422.055,87.928,87.4,0.668,0.896,0.219,37.735,0.073,512.818,0.275,1.513,1.561,1.691,1.684,1.009,0.347,0.239,0.556,4.775,0.313,0.437,0.506,0.506,0.064,695.689,29.002,32.894,77.245,8.142,4.413,31.452,47.127,16.789,0.937,0.435,1.312,0.951,15.966,4.85,45.927,1.097,0.71,13.707,4.548
"51",0.646,19.791,0.546,1.957,0.289,3.894,3035.703,84.38,87.201,0.708,0.956,0.027,107.953,0.456,562.085,0.102,1.523,1.513,1.23,1.545,1.213,0.421,0.209,1.732,5.252,0.524,0.326,0.318,0.318,0.08,976.567,9.307,20.705,110.362,10.845,6.839,40.083,41.689,61.443,0.499,0.619,1.553,0.177,58.37,4.712,17.843,0.426,0.785,12.014,4.57
"52",0.722,32.831,0.465,3.265,0.459,3.046,1757.575,85.065,83.59,0.805,0.394,0.018,58.848,0.102,658.484,0.114,1.646,1.137,0.929,1.544,1.045,0.348,0.132,2.356,3.093,2.344,0.556,0.101,0.101,0.016,956.65,21.636,10.994,10.189,30.521,1.243,10.025,11.224,10.285,0.112,0.254,1.558,0.522,27.228,3.793,2.96,1.28,0.689,10.524,9.731
"53",0.759,22.721,0.373,0.861,0.289,2.45,3655.843,87.051,84.916,0.377,0.561,0.258,46.333,0.397,828.444,0.139,1.225,1.572,1.077,1.007,1.136,0.261,0.229,0.149,0.439,0.878,0.797,0.594,0.594,0.02,950.816,27.94,17.937,116.943,28.328,10.45,44.033,24.775,24.776,0.534,0.216,0.874,0.727,41.558,1.369,36.385,0.007,0.612,4.796,5.14
"54",0.682,30.342,0.531,0.425,0.802,2.808,1104.185,90.815,87.806,0.542,0.902,0.22,12.866,0.787,575.7,0.119,0.938,1.439,1.204,1.245,1.676,0.357,0.172,1.51,3.19,2.79,0.761,0.536,0.536,0.084,839.563,34.712,30.235,11.067,23.678,8.277,28.37,17.174,23.737,0.078,0.687,1.353,0.611,46.054,2.085,11.967,0.26,0.65,6.742,3.384
"55",0.767,28.39,0.237,3.798,0.966,4.6,3801.12,78.891,86.643,0.324,0.717,0.338,72.505,0.977,881.888,0.134,1.537,0.9,1.269,1.682,1.656,0.281,0.169,1.693,1.4,1.399,0.569,0.275,0.275,0.019,942.757,30.361,18.535,61.939,25.774,8.057,42.255,9.074,6.548,0.699,0.721,1.533,0.805,46.17,3.608,0.822,0.554,0.516,8.509,7.053
"56",0.787,30.417,0.355,3.073,0.653,3.707,4577.574,76.371,86.251,0.075,0.214,0.265,62.129,0.255,628.369,0.147,1.094,1.754,1.199,1.489,1.421,0.257,0.115,1.061,1.148,2.672,0.823,0.148,0.148,0.081,654.663,29.585,19.782,116.865,9.79,7.817,38.884,11.043,76.591,0.828,0.524,1.051,0.104,25.156,0.402,23.459,1.141,0.128,13.315,0.395
"57",0.744,12.768,0.516,1.705,0.187,3.936,1375.955,83.622,82.297,0.402,0.296,0.02,42.615,0.103,532.516,0.176,1.74,1.202,1.056,1.606,0.898,0.396,0.169,1.243,2.611,2.036,0.145,0.167,0.167,0.099,679.592,26.873,25.599,126.294,28.581,24.382,22.056,16.799,18.737,0.523,0.778,1.703,0.281,52.455,0.883,50.759,0.663,0.818,0.268,5.561
"58",0.664,33.441,0.349,1.199,0.214,1.216,978.446,67.462,85.748,0.773,0.327,0.161,79.472,0.972,613.392,0.153,1.008,1.223,1.55,1.612,1.466,0.345,0.101,1.704,2.88,2.222,0.88,0.47,0.47,0.072,825.518,23.674,19.44,22.085,9.455,18.321,10.024,39.946,9.542,0.424,0.176,1.058,0.367,21.131,3.975,37.295,1.317,0.973,2.294,2.398
"59",0.719,22.959,0.522,0.228,0.875,2.466,4101.071,90.02,87.395,0.07,0.249,0.091,49.204,0.958,832.276,0.237,1.382,1.584,1.131,1.137,1.349,0.351,0.089,1.044,3.107,0.358,0.264,0.346,0.346,0.084,612.671,21.705,33.458,10.43,29.984,7.407,11.964,11.603,80.45,0.298,0.668,0.964,0.385,42.552,4.957,60.579,0.958,0.154,9.636,6.519
"60",0.631,11.008,0.127,1.752,0.918,3.117,462.196,81.913,84.003,0.886,0.056,0.027,82.601,0.849,891.884,0.288,1.387,0.873,1.265,1.147,1.075,0.341,0.067,2.886,4.285,2.236,0.342,0.589,0.589,0.051,841.299,28.997,26.767,113.354,21.626,17.597,20.173,0.987,59.12,0.248,0.611,1.35,0.854,17.74,3.055,3.588,1.396,0.92,14.368,8.074
"61",0.723,17.438,0.271,1.337,0.711,4.481,2808.603,68.626,82.58,0.186,0.576,0.23,73.396,0.081,773.005,0.168,1.696,1.702,1.647,1.474,0.89,0.429,0.107,0.957,2.293,0.35,0.53,0.466,0.466,0.01,744.679,6.406,15.88,34.731,13.495,7.133,12.674,29.157,30.049,0.638,0.227,1.467,0.988,22.114,0.816,65.472,0.332,0.891,9.936,3.031
"62",0.66,25.624,0.129,4.905,0.266,3.933,4910.432,74.533,87.547,0.472,0.102,0.346,100.775,0.758,707.265,0.156,1.705,1.096,0.931,1.018,1.685,0.313,0.051,0.147,0.851,0.296,0.539,0.566,0.566,0.048,983.572,14.562,23.039,79.63,12.472,22.751,26.054,2.499,6.865,0.646,0.759,1.575,0.144,6.828,3.985,65.436,0.618,0.036,0.326,7.494
"63",0.633,10.304,0.347,3.025,0.412,2.629,3991.755,83.331,82.281,0.58,0.098,0.439,57.612,0.684,889.72,0.192,1.235,1.692,1.23,1.232,1.631,0.33,0.144,0.164,5.842,2.578,0.568,0.336,0.336,0.077,604.443,16.307,17.769,103.706,10.102,13.451,33.848,12.188,25.455,0.463,0.548,1.528,0.555,23.329,1.882,20.812,0.794,0.741,7.165,8.235
"64",0.642,19.233,0.565,2.842,0.447,1.987,3311.406,89.673,83.786,0.116,0.346,0.021,69.346,0.461,645.935,0.275,1.172,1.197,1.023,1.309,1.599,0.312,0.088,1.83,5.214,0.466,0.246,0.247,0.247,0.081,660.801,32.944,6.63,93.35,34.647,11.847,26.323,0.728,54.376,0.48,0.641,1.14,0.9,51.121,1.179,16.032,0.792,0.862,1.04,8.012
"65",0.636,11.614,0.466,0.014,0.752,2.24,2863.988,89.256,87.986,0.061,0.257,0.168,55.716,0.319,825.24,0.263,1.51,1.45,1.303,1.059,1.2,0.301,0.169,3.451,1.106,1.587,0.806,0.327,0.327,0.069,829.88,22.502,31.017,123.042,15.679,8.367,11.455,44.965,78.349,0.427,0.293,1.527,0.126,13.077,4.219,53.146,0.636,0.325,11.69,3.959
"66",0.66,25.873,0.622,2.3,0.139,2.316,4019.867,89.336,85.121,0.628,0.064,0.304,71.507,0.56,729.663,0.267,1.591,1.379,1.332,1.519,1.747,0.366,0.19,0.312,2.116,1.616,0.121,0.217,0.217,0.063,680.31,31.907,33.696,117.666,6.211,19.959,16.343,0.235,73.537,0.362,0.321,1.757,0.08,24.142,0.702,40.916,0.724,0.589,9.493,1.103
